@relation qqqq

@attribute first_person numeric
@attribute second_person numeric
@attribute third_person numeric
@attribute conjunct numeric
@attribute past_tense_verb numeric
@attribute furture_tense_verb numeric
@attribute commas numeric
@attribute colons_semicolons numeric
@attribute dashes numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute common_nouns numeric
@attribute proper_nouns numeric
@attribute adverbs numeric
@attribute wh_words numeric
@attribute slang numeric
@attribute uppercase numeric
@attribute avg_sentence_len numeric
@attribute avg_token_len numeric
@attribute count_sentences numeric
@attribute class {../qqqq.twt} 

@data
192,0,200,0,1,1,0,1,0,0,0,7,0,1,1,200,41,7,0,3,../qqqq.twt
259,0,260,2,4,0,1,1,0,0,3,5,0,4,1,261,55,6,0,5,../qqqq.twt
83,0,86,0,0,0,0,1,0,0,0,3,0,0,0,85,19,9,0,1,../qqqq.twt
105,0,103,0,0,0,0,1,0,0,0,4,0,1,0,106,20,10,0,1,../qqqq.twt
39,0,41,0,0,0,0,0,0,0,0,3,0,0,0,41,7,4,0,1,../qqqq.twt
44,0,46,0,0,0,0,1,0,0,0,1,0,0,0,46,7,3,0,1,../qqqq.twt
165,1,171,0,0,0,0,1,0,0,0,7,1,2,0,168,32,9,0,2,../qqqq.twt
188,0,189,0,0,0,0,1,0,0,1,4,0,0,1,193,41,11,0,2,../qqqq.twt
83,0,83,0,0,0,0,1,0,0,0,5,0,0,0,81,14,3,0,2,../qqqq.twt
141,0,140,1,0,0,0,1,0,0,0,3,0,1,1,142,28,8,0,2,../qqqq.twt
158,0,161,0,0,0,0,2,0,0,0,6,0,1,1,163,32,16,0,1,../qqqq.twt
127,0,126,1,0,0,0,1,0,0,1,2,0,0,0,129,22,4,0,3,../qqqq.twt
180,0,179,0,0,0,0,1,0,0,0,6,0,0,0,184,35,5,0,4,../qqqq.twt
109,0,110,0,0,0,0,0,0,0,0,2,0,1,1,111,23,6,0,2,../qqqq.twt
173,0,166,0,1,0,1,1,0,0,0,4,0,2,0,175,35,17,0,1,../qqqq.twt
166,0,164,1,1,1,0,1,0,0,0,3,0,3,0,164,33,9,0,2,../qqqq.twt
151,0,151,0,0,0,0,1,0,0,0,5,0,0,0,153,29,14,0,1,../qqqq.twt
26,0,26,0,0,0,0,1,0,0,0,1,0,0,0,26,4,1,0,1,../qqqq.twt
85,0,87,0,0,0,0,1,0,0,0,4,0,0,0,87,20,9,0,1,../qqqq.twt
130,0,134,0,1,1,0,1,0,0,0,3,1,0,0,136,27,13,0,1,../qqqq.twt
74,0,76,0,0,0,0,1,0,0,0,4,0,0,0,75,15,7,0,1,../qqqq.twt
140,0,144,0,0,0,0,1,0,0,0,5,0,1,0,143,29,15,0,1,../qqqq.twt
182,0,185,0,0,0,0,0,0,0,0,9,1,0,0,186,38,7,0,3,../qqqq.twt
63,0,67,0,0,0,0,1,0,0,0,2,0,0,0,67,11,3,0,2,../qqqq.twt
175,0,180,1,1,0,0,1,0,0,1,7,0,4,0,178,36,9,0,2,../qqqq.twt
111,0,113,0,0,0,0,1,0,0,0,7,0,0,0,112,17,4,0,2,../qqqq.twt
75,0,76,0,0,0,0,1,0,0,0,4,0,0,0,76,15,4,0,2,../qqqq.twt
241,1,244,0,0,0,2,2,0,0,1,8,0,1,0,246,48,13,0,2,../qqqq.twt
71,0,71,0,0,0,0,1,0,0,0,4,0,0,0,69,12,3,0,2,../qqqq.twt
243,3,244,1,0,0,1,2,0,0,1,10,0,0,0,241,52,13,0,2,../qqqq.twt
74,0,74,0,0,0,0,0,0,0,0,2,0,0,0,74,11,5,0,1,../qqqq.twt
